owner,n.datasets,datasets
https://data.energystar.gov/d/gp4i-t95q
https://data.energystar.gov/d/acvd-5wvz
https://data.energystar.gov/d/t2v6-g4nf
https://data.energystar.gov/d/6rww-hpns
https://data.energystar.gov/d/28dp-wyst
https://data.energystar.gov/d/tjzj-25n7
https://data.energystar.gov/d/n6gj-5es2
https://data.energystar.gov/d/hcz4-erpv
https://data.energystar.gov/d/apxw-sgrr
https://data.energystar.gov/d/2f83-p388
https://data.energystar.gov/d/a6ci-4jvy
https://data.energystar.gov/d/mvyi-jgae
https://data.energystar.gov/d/9bwe-ibaf
https://data.energystar.gov/d/59dq-uw25
https://data.energystar.gov/d/ke8v-murg
https://data.energystar.gov/d/2wah-sjxr
https://data.energystar.gov/d/8dv7-nngq
https://data.energystar.gov/d/mj8j-2jhz
https://data.energystar.gov/d/tuyp-wctg
https://data.energystar.gov/d/2ppn-v3hp
https://data.energystar.gov/d/uyqh-qsu8
https://data.energystar.gov/d/e567-rku5
https://data.energystar.gov/d/pk8q-dim8
https://data.energystar.gov/d/s2mp-w6tu
https://data.energystar.gov/d/xsaq-9wt3
https://data.energystar.gov/d/cfrc-cncg
https://data.energystar.gov/d/ewhi-bvce
https://data.energystar.gov/d/kj3z-gvun
https://data.energystar.gov/d/dfcg-wapx
https://data.energystar.gov/d/edi8-b5vk
https://data.energystar.gov/d/3js5-e9d6
https://data.energystar.gov/d/gqtf-hp7x
https://data.energystar.gov/d/thb8-8csi
https://data.energystar.gov/d/gfcc-r8v6
https://data.energystar.gov/d/6i7e-6h2g
https://data.energystar.gov/d/9g6r-cpdt
https://data.energystar.gov/d/943j-p6ib
https://data.energystar.gov/d/46gm-kmbv
https://data.energystar.gov/d/vtsv-aq9u
https://data.energystar.gov/d/j624-u8ux
https://data.energystar.gov/d/wyw6-sr4d
https://data.energystar.gov/d/x97r-b78n
https://data.energystar.gov/d/nw5s-r5ca
https://data.energystar.gov/d/iwf3-ywhk
https://data.energystar.gov/d/56yh-pcbu
https://data.energystar.gov/d/uc6q-9632
https://data.energystar.gov/d/yetg-54vs
https://data.energystar.gov/d/x2ej-cb9k
https://data.energystar.gov/d/n5a3-hpt5
https://data.energystar.gov/d/gjih-4yet
https://data.energystar.gov/d/3hq2-gkpg
https://data.energystar.gov/d/8qxk-4gvv
https://data.energystar.gov/d/eq82-5piy
https://data.energystar.gov/d/aszw-hu8n
https://data.energystar.gov/d/kk99-r365
https://data.energystar.gov/d/pzuf-4vbf
https://data.energystar.gov/d/2377-fina
https://data.energystar.gov/d/6j7c-zgkb
https://data.energystar.gov/d/8tmc-egc3
https://data.energystar.gov/d/3v8z-x9uy
https://data.energystar.gov/d/x79i-rsw8
https://data.energystar.gov/d/4w6v-thuy
https://data.energystar.gov/d/ed9u-v8cw
https://data.energystar.gov/d/x39k-wz7q
https://data.energystar.gov/d/gqpg-7be2
https://data.energystar.gov/d/7ufw-fucz"
4mcz-9583,1,https://data.baltimorecity.gov/d/twve-sgzb
ifvf-ar46,6,"https://data.cityofnewyork.us/d/kuhv-zzpj
https://data.cityofnewyork.us/d/e6xu-8chy
https://data.cityofnewyork.us/d/kwjb-7ef2
https://bronx.lehman.cuny.edu/d/kuhv-zzpj
https://bronx.lehman.cuny.edu/d/e6xu-8chy
https://bronx.lehman.cuny.edu/d/kwjb-7ef2"
an38-krt2,5,"https://data.hawaii.gov/d/i7f9-fj37
https://data.hawaii.gov/d/j5dq-nmjy
https://data.hawaii.gov/d/vkx2-r6tb
https://data.hawaii.gov/d/vcvt-yznb
https://data.hawaii.gov/d/jpyg-5jmy"
z7jt-m6hz,7,"https://data.kingcounty.gov/d/7bep-9p7y
https://data.kingcounty.gov/d/5jc7-9665
https://data.kingcounty.gov/d/9ycg-yemn
https://data.kingcounty.gov/d/fmwm-7n76
https://data.kingcounty.gov/d/mpzz-svxb
https://data.kingcounty.gov/d/dx5r-rh67
https://data.kingcounty.gov/d/bjd8-qrep"
xig4-2vtp,2,"https://data.oregon.gov/d/juyh-fjhk
https://data.oregon.gov/d/2gru-36u8"
dzgj-hnvs,2,"https://data.illinois.gov/d/ie6w-7vym
https://www.metrochicagodata.org/d/ie6w-7vym"
8g3e-tbim,2,"https://finances.worldbank.org/d/9xbn-8xay
https://finances.worldbank.org/d/e549-g993"
bahw-3czi,2,"https://data.cityofnewyork.us/d/h2kh-jwxg
https://bronx.lehman.cuny.edu/d/h2kh-jwxg"
gsaw-ag2b,2,"https://data.cityofnewyork.us/d/bdyv-2f25
https://bronx.lehman.cuny.edu/d/bdyv-2f25"
hv27-d6n2,1,https://data.ok.gov/d/be3t-jr3z
4kck-cgbn,2,"https://finances.worldbank.org/d/pp84-8n2v
https://finances.worldbank.org/d/i87k-2a4g"
8xvz-5ja2,18,"https://data.cityofnewyork.us/d/styc-7sfk
https://data.cityofnewyork.us/d/h48j-6b9g
https://data.cityofnewyork.us/d/btg5-rbma
https://data.cityofnewyork.us/d/sw33-t3vk
https://data.cityofnewyork.us/d/rsfn-6ncc
https://data.cityofnewyork.us/d/56wi-yj58
https://data.cityofnewyork.us/d/ffdp-2iej
https://data.cityofnewyork.us/d/gxtz-tuat
https://data.cityofnewyork.us/d/iu2h-zmf9
https://bronx.lehman.cuny.edu/d/styc-7sfk
https://bronx.lehman.cuny.edu/d/h48j-6b9g
https://bronx.lehman.cuny.edu/d/btg5-rbma
https://bronx.lehman.cuny.edu/d/sw33-t3vk
https://bronx.lehman.cuny.edu/d/rsfn-6ncc
https://bronx.lehman.cuny.edu/d/56wi-yj58
https://bronx.lehman.cuny.edu/d/ffdp-2iej
https://bronx.lehman.cuny.edu/d/gxtz-tuat
https://bronx.lehman.cuny.edu/d/iu2h-zmf9"
47xv-u47g,2,"https://data.wellingtonfl.gov/d/3xrt-ting
https://data.wellingtonfl.gov/d/nhev-i6ea"
a5ay-av4d,22,"https://data.cityofnewyork.us/d/55zt-w9c4
https://data.cityofnewyork.us/d/x9w7-ehsv
https://data.cityofnewyork.us/d/c99n-gbhs
https://data.cityofnewyork.us/d/73hy-g9bu
https://data.cityofnewyork.us/d/f7zz-q4ug
https://data.cityofnewyork.us/d/ftkm-qz9t
https://data.cityofnewyork.us/d/v2n2-zh5e
https://data.cityofnewyork.us/d/x4h7-p72p
https://data.cityofnewyork.us/d/xb2u-ubdp
https://data.cityofnewyork.us/d/3ked-i878
https://data.cityofnewyork.us/d/h4y8-gx4e
https://bronx.lehman.cuny.edu/d/55zt-w9c4
https://bronx.lehman.cuny.edu/d/x9w7-ehsv
https://bronx.lehman.cuny.edu/d/c99n-gbhs
https://bronx.lehman.cuny.edu/d/73hy-g9bu
https://bronx.lehman.cuny.edu/d/f7zz-q4ug
https://bronx.lehman.cuny.edu/d/ftkm-qz9t
https://bronx.lehman.cuny.edu/d/v2n2-zh5e
https://bronx.lehman.cuny.edu/d/x4h7-p72p
https://bronx.lehman.cuny.edu/d/xb2u-ubdp
https://bronx.lehman.cuny.edu/d/3ked-i878
https://bronx.lehman.cuny.edu/d/h4y8-gx4e"
qutd-ebyd,1,https://data.baltimorecity.gov/d/t8mu-h8ne
2cbj-t9qy,1,https://data.baltimorecity.gov/d/sexs-j5fw
98ta-7dca,4,"https://data.baltimorecity.gov/d/kabe-snhb
https://data.baltimorecity.gov/d/tq4j-wux3
https://data.baltimorecity.gov/d/ctx3-rypb
https://data.baltimorecity.gov/d/6662-zjt8"
fpkp-n4z9,2,"https://data.ok.gov/d/c5cr-qxad
https://data.ok.gov/d/xcij-8c9t"
eac6-cg3w,3,"https://data.hawaii.gov/d/93ek-v47d
https://data.oregon.gov/d/93ek-v47d
https://data.ok.gov/d/93ek-v47d"
7xw9-im2j,1,https://data.oregon.gov/d/a7nj-5huz
zuaf-d327,4,"https://data.illinois.gov/d/3wtv-chmn
https://data.illinois.gov/d/i8zb-z82e
https://www.metrochicagodata.org/d/3wtv-chmn
https://www.metrochicagodata.org/d/i8zb-z82e"
pj8z-ukev,1,https://finances.worldbank.org/d/ekcs-39cn
4vnq-huyi,1,https://data.ok.gov/d/5egw-mrdb
mxg5-yanf,1,https://data.ok.gov/d/ew7m-f8yq
ckw6-hpby,1,https://data.ok.gov/d/88e4-t56s
n7pv-mhsd,1,https://finances.worldbank.org/d/qfa3-hwub
i3kj-3uu6,1,https://data.kingcounty.gov/d/gyzt-e42c
uth7-wih3,4,"https://data.cityofnewyork.us/d/wixz-q7pt
https://data.cityofnewyork.us/d/9y5v-nb9w
https://bronx.lehman.cuny.edu/d/wixz-q7pt
https://bronx.lehman.cuny.edu/d/9y5v-nb9w"
hdk3-avfu,2,"https://www.opendatanyc.com/d/ycva-9tdw
https://www.opendatanyc.com/d/cwjn-mnr6"
kf8h-zd38,2,"https://data.cityofnewyork.us/d/9ywx-b5jt
https://bronx.lehman.cuny.edu/d/9ywx-b5jt"
pjhx-3g2p,1,https://finances.worldbank.org/d/ck7a-uwmr
c7ia-9nhg,2,"https://finances.worldbank.org/d/g73x-p6tn
https://finances.worldbank.org/d/shds-avmf"
7xsw-jruj,1,https://data.baltimorecity.gov/d/rici-evfx
96xm-8bwz,1,https://data.cityofboston.gov/d/8dqt-q977
rcb5-x4rv,1,https://data.lacity.org/d/kp3f-5ngc
j4tf-bxch,4,"https://finances.worldbank.org/d/6ur5-yqfj
https://finances.worldbank.org/d/wqer-7rfw
https://finances.worldbank.org/d/abp9-43db
https://finances.worldbank.org/d/aev3-k9qp"
mncp-ddky,1,https://data.kingcounty.gov/d/gy9k-5c3f
i7d8-sc4w,230,"https://data.wa.gov/d/h6sn-55yw
https://data.wa.gov/d/w4iw-zzam
https://data.wa.gov/d/6inn-ezdk
https://data.cityofnewyork.us/d/pg99-2ihy
https://data.cityofnewyork.us/d/byv3-iir3
https://data.cityofnewyork.us/d/3rfa-3xsf
https://data.cityofnewyork.us/d/2t9n-8jnw
https://data.cityofnewyork.us/d/sqcr-6mww
https://data.cityofnewyork.us/d/uzcy-9puk
https://data.cityofnewyork.us/d/hy4q-igkk
https://data.cityofnewyork.us/d/sxmw-f24h
https://data.cityofnewyork.us/d/aiww-p3af
https://opendata.go.ke/d/p452-xb7c
https://opendata.go.ke/d/e53f-gps5
https://opendata.go.ke/d/9wwb-trjw
https://opendata.go.ke/d/ymzx-tfh4
https://opendata.go.ke/d/58ca-8fhp
https://opendata.go.ke/d/ai2k-tr6s
https://opendata.go.ke/d/jje2-2m5j
https://opendata.go.ke/d/j7xt-htrr
https://opendata.go.ke/d/kkxj-9wp5
https://opendata.go.ke/d/354v-vbrv
https://opendata.go.ke/d/9aw6-azke
https://opendata.go.ke/d/g9hi-bs9n
https://opendata.go.ke/d/akug-z4w2
https://opendata.go.ke/d/p9gr-xwvn
https://opendata.go.ke/d/8bk9-8y8f
https://opendata.go.ke/d/9t8n-p6s2
https://opendata.go.ke/d/u77w-ifgt
https://opendata.go.ke/d/njx9-dig4
https://opendata.go.ke/d/rdkm-b2ph
https://opendata.go.ke/d/u6e3-zmvi
https://opendata.go.ke/d/s72w-36ka
https://opendata.go.ke/d/gtbx-qhc8
https://opendata.go.ke/d/yc6j-ekrh
https://opendata.go.ke/d/ndcr-8vfn
https://opendata.go.ke/d/r2tb-u8uf
https://opendata.go.ke/d/5f6c-mz24
https://opendata.go.ke/d/pmvk-9zry
https://opendata.go.ke/d/4dtq-9r22
https://opendata.go.ke/d/5c6z-asak
https://opendata.go.ke/d/r53v-pst5
https://opendata.go.ke/d/wmwv-ayb8
https://opendata.go.ke/d/qvtv-x9ht
https://opendata.go.ke/d/7383-rdz6
https://opendata.go.ke/d/xu8d-ezsq
https://opendata.go.ke/d/mw8v-4qkd
https://opendata.go.ke/d/va93-4uhc
https://opendata.go.ke/d/32dh-z7yn
https://opendata.go.ke/d/prf6-gfd3
https://opendata.go.ke/d/fa7e-65cy
https://opendata.go.ke/d/vaz8-8cgm
https://opendata.go.ke/d/27y4-xqir
https://opendata.go.ke/d/pgjh-7ie9
https://opendata.go.ke/d/f6p3-keqr
https://opendata.go.ke/d/q4dz-tr9s
https://opendata.go.ke/d/d2m5-cfmb
https://opendata.go.ke/d/687e-qmka
https://opendata.go.ke/d/vszh-3ctk
https://opendata.go.ke/d/qfxh-vhhd
https://opendata.go.ke/d/fdpw-jv6z
https://opendata.go.ke/d/p9vn-e2ss
https://opendata.go.ke/d/9x8s-x6xv
https://opendata.go.ke/d/s4wd-b329
https://opendata.go.ke/d/5n3p-ga7e
https://opendata.go.ke/d/cg6h-a2kg
https://opendata.go.ke/d/7kmc-6twq
https://opendata.go.ke/d/ws4j-ffqr
https://opendata.go.ke/d/2g27-y8wh
https://opendata.go.ke/d/5zqs-vciy
https://opendata.go.ke/d/rg9p-2ycg
https://opendata.go.ke/d/zg7b-wt6w
https://opendata.go.ke/d/axyr-pmby
https://opendata.go.ke/d/2e39-imk9
https://opendata.go.ke/d/n8fa-wuez
https://opendata.go.ke/d/sk6c-ni24
https://opendata.go.ke/d/pfum-zix3
https://opendata.go.ke/d/3xzw-qb52
https://opendata.go.ke/d/ermg-j2ny
https://opendata.go.ke/d/pnww-fzqx
https://opendata.go.ke/d/e9r4-q7a4
https://opendata.go.ke/d/h82g-iwce
https://opendata.go.ke/d/ubgi-qq8t
https://opendata.go.ke/d/njba-kn75
https://opendata.go.ke/d/e9dw-dfyf
https://opendata.go.ke/d/7uuu-vg9x
https://opendata.go.ke/d/eni6-8nue
https://opendata.go.ke/d/6r7v-i36w
https://opendata.go.ke/d/8wg3-hk96
https://opendata.go.ke/d/dinw-j7b2
https://opendata.go.ke/d/36iu-zgj9
https://data.cityofchicago.org/d/hcqp-hyqa
https://data.cityofchicago.org/d/vfd5-f3kt
https://data.cityofchicago.org/d/8bap-6xg8
https://data.cityofnewyork.us/d/saap-twii
https://data.illinois.gov/d/fkmu-qp3f
https://data.illinois.gov/d/fvyw-qc5f
https://data.illinois.gov/d/miu9-qsdm
https://data.illinois.gov/d/yrhg-37yy
https://data.hawaii.gov/d/fkmu-qp3f
https://data.hawaii.gov/d/44ha-2cuc
https://data.hawaii.gov/d/fvyw-qc5f
https://data.hawaii.gov/d/miu9-qsdm
https://data.cityofnewyork.us/d/n8ep-94r7
https://data.ny.gov/d/3rfa-3xsf
https://data.ny.gov/d/2t9n-8jnw
https://data.ny.gov/d/sqcr-6mww
https://data.ny.gov/d/uzcy-9puk
https://data.ny.gov/d/hy4q-igkk
https://data.ny.gov/d/sxmw-f24h
https://data.ny.gov/d/aiww-p3af
https://data.illinois.gov/d/zknn-hkeq
https://data.hawaii.gov/d/k27v-4bw6
https://data.hawaii.gov/d/5v7n-iqvq
https://data.hawaii.gov/d/mdxf-3qsf
https://data.hawaii.gov/d/yrhg-37yy
https://data.hawaii.gov/d/zknn-hkeq
https://data.cityofnewyork.us/d/mwue-uyse
https://data.hawaii.gov/d/e8cp-w54m
https://data.hawaii.gov/d/fzdp-buvg
https://data.undp.org/d/m8f3-hvnn
https://data.illinois.gov/d/e8cp-w54m
https://data.illinois.gov/d/fzdp-buvg
https://data.illinois.gov/d/twbm-i6dh
https://data.illinois.gov/d/xk3f-pafc
https://data.hawaii.gov/d/twbm-i6dh
https://data.hawaii.gov/d/xk3f-pafc
https://data.hawaii.gov/d/tzvc-xsmx
https://data.hawaii.gov/d/tjae-he7r
https://data.hawaii.gov/d/ksrj-vsed
https://data.ny.gov/d/fkmu-qp3f
https://data.ny.gov/d/fvyw-qc5f
https://data.ny.gov/d/miu9-qsdm
https://data.ny.gov/d/yrhg-37yy
https://data.ny.gov/d/zknn-hkeq
https://data.illinois.gov/d/tjae-he7r
https://explore.data.gov/d/fkmu-qp3f
https://explore.data.gov/d/fvyw-qc5f
https://explore.data.gov/d/miu9-qsdm
https://explore.data.gov/d/yrhg-37yy
https://explore.data.gov/d/zknn-hkeq
https://explore.data.gov/d/e8cp-w54m
https://explore.data.gov/d/fzdp-buvg
https://data.ny.gov/d/e8cp-w54m
https://data.ny.gov/d/fzdp-buvg
https://bronx.lehman.cuny.edu/d/pg99-2ihy
https://bronx.lehman.cuny.edu/d/byv3-iir3
https://bronx.lehman.cuny.edu/d/3rfa-3xsf
https://bronx.lehman.cuny.edu/d/2t9n-8jnw
https://bronx.lehman.cuny.edu/d/sqcr-6mww
https://bronx.lehman.cuny.edu/d/uzcy-9puk
https://bronx.lehman.cuny.edu/d/hy4q-igkk
https://bronx.lehman.cuny.edu/d/sxmw-f24h
https://bronx.lehman.cuny.edu/d/aiww-p3af
https://explore.data.gov/d/twbm-i6dh
https://explore.data.gov/d/xk3f-pafc
https://explore.data.gov/d/tjae-he7r
https://bronx.lehman.cuny.edu/d/saap-twii
https://data.ny.gov/d/twbm-i6dh
https://data.ny.gov/d/xk3f-pafc
https://data.ny.gov/d/tjae-he7r
https://bronx.lehman.cuny.edu/d/n8ep-94r7
https://bronx.lehman.cuny.edu/d/mwue-uyse
https://data.sfgov.org/d/h4ui-ubbu
https://data.sfgov.org/d/xb5t-j8gs
https://data.edmonton.ca/d/v6pz-ntae
https://www.metrochicagodata.org/d/hcqp-hyqa
https://www.metrochicagodata.org/d/vfd5-f3kt
https://www.metrochicagodata.org/d/8bap-6xg8
https://data.kingcounty.gov/d/xyc8-uwtq
https://data.kingcounty.gov/d/j6wd-wux8
https://data.kingcounty.gov/d/7pdu-uwpq
https://data.kingcounty.gov/d/46gn-ycb9
https://data.kingcounty.gov/d/9ybe-4kp7
https://data.baltimorecity.gov/d/eqkn-pr4a
https://data.baltimorecity.gov/d/u4yd-54ur
https://www.opendatanyc.com/d/uq9q-uwpw
https://data.oregon.gov/d/qzmm-gnvs
https://data.oregon.gov/d/abav-di5i
https://data.oregon.gov/d/qnwa-9g4e
https://data.oregon.gov/d/n9ai-6ddq
https://data.oregon.gov/d/dwbs-ta5f
https://data.oregon.gov/d/6ia7-awfg
https://data.honolulu.gov/d/a3ah-kpkr
https://data.oregon.gov/d/fkmu-qp3f
https://data.oregon.gov/d/44ha-2cuc
https://data.oregon.gov/d/fvyw-qc5f
https://data.oregon.gov/d/miu9-qsdm
https://data.oregon.gov/d/k27v-4bw6
https://data.oregon.gov/d/5v7n-iqvq
https://data.oregon.gov/d/mdxf-3qsf
https://data.oregon.gov/d/yrhg-37yy
https://data.oregon.gov/d/zknn-hkeq
https://data.ok.gov/d/npzz-hfk3
https://data.ok.gov/d/fkmu-qp3f
https://data.ok.gov/d/44ha-2cuc
https://data.ok.gov/d/fvyw-qc5f
https://data.ok.gov/d/miu9-qsdm
https://data.ok.gov/d/k27v-4bw6
https://data.ok.gov/d/5v7n-iqvq
https://data.ok.gov/d/mdxf-3qsf
https://data.ok.gov/d/yrhg-37yy
https://data.oregon.gov/d/e8cp-w54m
https://data.oregon.gov/d/fzdp-buvg
https://data.oregon.gov/d/twbm-i6dh
https://data.oregon.gov/d/xk3f-pafc
https://data.oregon.gov/d/tzvc-xsmx
https://data.oregon.gov/d/tjae-he7r
https://data.ok.gov/d/zknn-hkeq
https://data.seattle.gov/d/2fzs-85v9
https://data.seattle.gov/d/tj2n-gcwb
https://data.seattle.gov/d/9vr2-fq7s
https://data.seattle.gov/d/ctmb-zwk6
https://data.seattle.gov/d/a98r-tztc
https://data.seattle.gov/d/bt83-5tnc
https://data.seattle.gov/d/6249-gx6k
https://data.seattle.gov/d/gwke-htgm
https://data.seattle.gov/d/ypeg-fz9r
https://data.seattle.gov/d/wsci-k7aw
https://data.seattle.gov/d/2b3t-6tnb
https://data.seattle.gov/d/8uz3-wyny
https://data.seattle.gov/d/dxfe-di3a
https://data.oregon.gov/d/ksrj-vsed
https://data.ok.gov/d/e8cp-w54m
https://data.ok.gov/d/fzdp-buvg
https://data.ok.gov/d/twbm-i6dh
https://data.ok.gov/d/xk3f-pafc
https://data.ok.gov/d/tzvc-xsmx
https://data.ok.gov/d/tjae-he7r
https://data.ok.gov/d/ksrj-vsed"
pjqa-9aeb,12,"https://data.hawaii.gov/d/g5it-4uhm
https://data.hawaii.gov/d/hm25-zz27
https://data.illinois.gov/d/g5it-4uhm
https://data.illinois.gov/d/hm25-zz27
https://explore.data.gov/d/g5it-4uhm
https://data.ny.gov/d/g5it-4uhm
https://data.ny.gov/d/hm25-zz27
https://explore.data.gov/d/hm25-zz27
https://data.oregon.gov/d/g5it-4uhm
https://data.oregon.gov/d/hm25-zz27
https://data.ok.gov/d/g5it-4uhm
https://data.ok.gov/d/hm25-zz27"
jphu-vngw,28,"https://data.cityofmadison.com/d/7shu-mkhv
https://data.cityofmadison.com/d/va6x-khwv
https://data.cityofmadison.com/d/m8qu-5gbp
https://data.cityofmadison.com/d/cq85-dipd
https://data.cityofmadison.com/d/kbjz-kaud
https://data.cityofmadison.com/d/qcfn-n3we
https://data.cityofmadison.com/d/gqa8-dxgc
https://data.cityofmadison.com/d/9wf4-wytn
https://data.cityofmadison.com/d/pveg-u4zq
https://data.cityofmadison.com/d/j4t2-fn7a
https://data.cityofmadison.com/d/ipd7-scz8
https://data.cityofmadison.com/d/jvs7-37vw
https://data.cityofmadison.com/d/38c6-a8m4
https://data.cityofmadison.com/d/3a6w-jfnq
https://data.cityofmadison.com/d/r98k-9799
https://data.cityofmadison.com/d/hi83-zfb3
https://data.cityofmadison.com/d/r7yp-j3t7
https://data.cityofmadison.com/d/mser-b9tq
https://data.cityofmadison.com/d/3syz-mw6z
https://data.cityofmadison.com/d/s9b5-pi49
https://data.cityofmadison.com/d/5eh3-n3ms
https://data.cityofmadison.com/d/bgrv-wya2
https://data.cityofmadison.com/d/mz4p-68jd
https://data.cityofmadison.com/d/wz7i-taa5
https://data.cityofmadison.com/d/vb36-v77y
https://data.cityofmadison.com/d/t6n5-id96
https://data.cityofmadison.com/d/q5sg-7k3x
https://data.cityofmadison.com/d/4kgp-uj2z"
9m4i-xesi,2,"https://data.cityofnewyork.us/d/i5qu-85du
https://bronx.lehman.cuny.edu/d/i5qu-85du"
wb9a-uiws,1,https://data.seattle.gov/d/7i95-vbaj
azwx-2tud,2,"https://data.cityofnewyork.us/d/44vn-ub4w
https://bronx.lehman.cuny.edu/d/44vn-ub4w"
tbj5-e4er,2,"https://data.baltimorecity.gov/d/rfby-488g
https://data.baltimorecity.gov/d/9p64-zeus"
k3ft-edqp,2,"https://data.raleighnc.gov/d/bnut-fgt3
https://data.raleighnc.gov/d/btmb-g4he"
8765-6i66,6,"https://data.hawaii.gov/d/qeay-92a2
https://data.hawaii.gov/d/579f-zikv
https://data.oregon.gov/d/qeay-92a2
https://data.oregon.gov/d/579f-zikv
https://data.ok.gov/d/qeay-92a2
https://data.ok.gov/d/579f-zikv"
ck2z-fsvc,2,"https://data.oregon.gov/d/5fpw-g4hr
https://data.oregon.gov/d/cgz9-kqqr"
pkjc-wjvw,1,https://data.oregon.gov/d/tx6j-62b5
rwc9-y95v,1,https://data.wa.gov/d/ry9s-rt6r
wywz-qqin,2,"https://data.cityofnewyork.us/d/ky5a-5b3f
https://bronx.lehman.cuny.edu/d/ky5a-5b3f"
2hs9-5iaz,15,"https://data.hawaii.gov/d/739b-s42i
https://data.hawaii.gov/d/4iru-mkiz
https://data.hawaii.gov/d/krwd-cpzn
https://data.hawaii.gov/d/shrj-j9gx
https://data.hawaii.gov/d/sjey-jfnw
https://data.oregon.gov/d/739b-s42i
https://data.oregon.gov/d/4iru-mkiz
https://data.oregon.gov/d/krwd-cpzn
https://data.oregon.gov/d/shrj-j9gx
https://data.oregon.gov/d/sjey-jfnw
https://data.ok.gov/d/739b-s42i
https://data.ok.gov/d/4iru-mkiz
https://data.ok.gov/d/krwd-cpzn
https://data.ok.gov/d/shrj-j9gx
https://data.ok.gov/d/sjey-jfnw"
xpc8-x54b,2,"https://data.cityofnewyork.us/d/aha4-mdu2
https://bronx.lehman.cuny.edu/d/aha4-mdu2"
wfsh-4j29,1,https://finances.worldbank.org/d/de56-jza9
ibjz-wjmy,2,"https://finances.worldbank.org/d/qrru-e5pm
https://finances.worldbank.org/d/ysxr-38gg"
nfbt-3mex,1,https://data.sfgov.org/d/itji-hbsh
8tpe-5idn,1,https://data.kingcounty.gov/d/s9hx-gkwa
